2026-03-06 11:47:56 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: BTC Up cid=0x7034ed5c09 price=0.505 prob=54.9% edge=4.1¢ mom=0.814 trend=0.50 vol=0.0019 size=9.8 type=GTC  q=Bitcoin Up or Down - March 6, 12:00PM-12:15PM ET
2026-03-06 11:47:56 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Down cid=0xa20173c6c0 price=0.495 prob=55.8% edge=6.1¢ mom=-0.972 trend=0.50 vol=0.0027 size=10.1 type=GTC  q=Ethereum Up or Down - March 6, 12:00PM-12:15PM ET
2026-03-06 11:47:56 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Down cid=0x430aa33115 price=0.500 prob=55.8% edge=5.6¢ mom=-0.972 trend=0.50 vol=0.0027 size=9.9 type=GTC  q=Ethereum Up or Down - March 6, 12:10PM-12:15PM ET
2026-03-06 11:47:56 | INFO     | polymarket_bot.orchestrator | Found 4 total signals across all strategies
2026-03-06 11:47:56 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x97d2ac34a4 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:47:56 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xa20173c6c0 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:47:56 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x430aa33115 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:47:56 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x7034ed5c09 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:47:56 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:47:56 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:47:56 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:47:56 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:47:56 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:47:56 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:47:56 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:47:56 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:47:56 | INFO     | __main__ | Iteration 14380: processed 4 signals
2026-03-06 11:48:05 | INFO     | polymarket_bot.orchestrator | 🕐 Resolution window [2d]: 477 → 0 markets
2026-03-06 11:48:06 | INFO     | polymarket_bot.scanner | 🔍 Short-duration scan: 50 markets found — unknown=50
2026-03-06 11:48:06 | INFO     | polymarket_bot.orchestrator | 📡 Short-duration: added 50 markets to universe (50 total in scan, 0 already present)
2026-03-06 11:48:08 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0x66c3d17158 price=0.490 prob=58.4% edge=9.2¢ mom=0.938 trend=0.75 vol=0.0009 size=10.2 type=GTC  q=XRP Up or Down - March 6, 11:45AM-12:00PM ET
2026-03-06 11:48:08 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: BTC Up cid=0x8504132b88 price=0.505 prob=54.9% edge=4.1¢ mom=0.814 trend=0.50 vol=0.0019 size=9.8 type=GTC  q=Bitcoin Up or Down - March 6, 12:10PM-12:15PM ET
2026-03-06 11:48:08 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0xd3a2b67836 price=0.505 prob=58.4% edge=7.7¢ mom=0.938 trend=0.75 vol=0.0009 size=9.8 type=GTC  q=XRP Up or Down - March 6, 12:10PM-12:15PM ET
2026-03-06 11:48:08 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0x2046289d24 price=0.500 prob=58.4% edge=8.2¢ mom=0.938 trend=0.75 vol=0.0009 size=9.9 type=GTC  q=XRP Up or Down - March 6, 12:00PM-12:15PM ET
2026-03-06 11:48:08 | INFO     | polymarket_bot.orchestrator | Found 4 total signals across all strategies
2026-03-06 11:48:08 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x66c3d17158 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:08 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x2046289d24 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:08 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xd3a2b67836 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:08 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x8504132b88 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:08 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:08 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:08 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:08 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:08 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:08 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:08 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:08 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:08 | INFO     | __main__ | Iteration 14381: processed 4 signals
2026-03-06 11:48:15 | INFO     | polymarket_bot.orchestrator | 🕐 Resolution window [2d]: 477 → 0 markets
2026-03-06 11:48:16 | INFO     | polymarket_bot.scanner | 🔍 Short-duration scan: 50 markets found — unknown=50
2026-03-06 11:48:16 | INFO     | polymarket_bot.orchestrator | 📡 Short-duration: added 50 markets to universe (50 total in scan, 0 already present)
2026-03-06 11:48:16 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0xf704269b8b price=0.505 prob=58.4% edge=7.7¢ mom=0.938 trend=0.75 vol=0.0009 size=9.8 type=GTC  q=XRP Up or Down - March 6, 11:45AM-11:50AM ET
